#;Name;Algorithm;Featurization;Excluded from predictive evaluation;Excluded from uncertainty evaluation
631;Q92731;SVM;RDKit;;
632;Q92731;SVM;CDDD;;
633;Q92731;Shallow;MACCS;;
634;Q92731;Shallow;MFC;;
635;Q92731;Shallow;RDKit;;
636;Q92731;Shallow;CDDD;;
637;Q92731;Deep;MACCS;;
638;Q92731;Deep;MFC;;
639;Q92731;Deep;RDKit;;
640;Q92731;Deep;CDDD;;
